number,date,client_code,amount,client_type
11MS1756806699024,2025-11-02,MS89891,86552,C
11MS1756806762727,2025-11-03,MS10001,27159,C
11MS1756364562070,2025-11-03,MS10001,45920,C
11MS1756365453225,2025-11-03,MS24068,79479,C
11MS1756727538570,2025-11-05,MS24068,62251,C
11MS1756727962343,2025-11-05,MS37568,62256,C
11MS1756804909769,2025-11-01,MS37685,162727,V
11MS1756807211689,2025-11-02,MS90712,166216,V
11MS1756807591753,2025-11-03,MS49926,130077,V
11MS1756807681474,2025-11-03,MS49926,247629,V
11MS1756807797303,2025-11-03,MS90712,226830,V
11MS1756807918605,2025-11-04,MS11708,61534,V
11MS1756810538772,2025-11-05,MS90712,58392,V
11MS1756734593780,2025-11-01,MS24068,54131,C
11MS1756806353904,2025-11-02,MS10001,35658,C
11MS1756806357763,2025-11-02,MS10001,94478,C
11MS1756806467510,2025-11-02,MS24068,77435,C
11MS1756372437582,2025-11-03,MS37568,87189,C
11MS1756383761047,2025-11-04,MS10001,65591,C
11MS1756384060591,2025-11-04,MS10001,99812,C
11MS1756386657537,2025-11-04,MS24068,19268,C
11MS1756394155530,2025-11-04,MS24068,22185,C
11MS1756725682928,2025-11-04,MS67524,58984,C
11MS1756726130772,2025-11-04,MS89891,77563,C
11MS1756735110370,2025-11-05,MS67524,99135,C
11MS1756805160319,2025-11-02,MS11708,234779,V
11MS1756809973917,2025-11-04,MS37685,136807,V
11MS1756810154337,2025-11-05,MS11708,243664,V
11MS1756810430524,2025-11-05,MS37685,88660,V
11MS1756618910105,2025-11-01,MS10001,25795,C
11MS1756776534698,2025-11-01,MS89891,63707,C
11MS1756806757788,2025-11-03,MS10001,58555,C
11MS1756727103140,2025-11-05,MS24068,48660,C
11MS1756727708613,2025-11-05,MS37568,32662,C
11MS1756807725270,2025-11-03,MS90712,102995,V
11MS1756809918662,2025-11-04,MS37685,74300,V
11MS1756806353389,2025-11-01,MS89891,81932,C
11MS1756373698053,2025-11-03,MS37568,50757,C
11MS1756735471743,2025-11-05,MS67524,89575,C
11MS1756735862091,2025-11-05,MS89891,73335,C
11MS1756805155778,2025-11-01,MS90712,153355,V
11MS1756806943616,2025-11-02,MS37685,179981,V
11MS1756807523322,2025-11-03,MS37685,174358,V
11MS1756807939691,2025-11-04,MS23154,141387,V
11MS1756810064512,2025-11-04,MS90712,164752,V
11MS1756810481700,2025-11-05,MS37685,184633,V
11MS1756734928528,2025-11-01,MS24068,70263,C
11MS1756806273362,2025-11-01,MS89891,38693,C
11MS1756806512392,2025-11-02,MS37568,41551,C
11MS1756806676366,2025-11-02,MS89891,53001,C
11MS1756727340172,2025-11-05,MS24068,36854,C
11MS1756727761863,2025-11-05,MS37568,40535,C
11MS1756735552085,2025-11-05,MS67524,94651,C
11MS1756805228163,2025-11-02,MS23154,172537,V
11MS1756807015887,2025-11-02,MS37685,134654,V
11MS1756807461943,2025-11-03,MS23154,204969,V
11MS1756807690118,2025-11-03,MS90712,128953,V
11MS1756734388320,2025-11-01,MS24068,47194,C
11MS1756773863075,2025-11-01,MS37568,51090,C
11MS1756775999037,2025-11-01,MS67524,15311,C
11MS1756776653536,2025-11-01,MS89891,95305,C
11MS1756806605177,2025-11-02,MS67524,90038,C
11MS1756806640707,2025-11-02,MS67524,20627,C
11MS1756806734189,2025-11-02,MS89891,78148,C
11MS1756433471986,2025-11-04,MS37568,49099,C
11MS1756805047967,2025-11-01,MS49926,109735,V
11MS1756807086410,2025-11-02,MS49926,117435,V
11MS1756810597205,2025-11-05,MS90712,102256,V
11MS1756774113867,2025-11-01,MS37568,74820,C
11MS1756775441060,2025-11-01,MS67524,77969,C
11MS1756806439917,2025-11-02,MS24068,45773,C
11MS1756806762992,2025-11-03,MS10001,90077,C
11MS1756376045048,2025-11-03,MS67524,55758,C
11MS1756382178322,2025-11-03,MS89891,11016,C
11MS1756384708969,2025-11-04,MS10001,33247,C
11MS1756726305132,2025-11-04,MS89891,58190,C
11MS1756726404751,2025-11-04,MS89891,15258,C
11MS1756804891493,2025-11-01,MS23154,218266,V
11MS1756807536118,2025-11-03,MS37685,67159,V
11MS1756810000024,2025-11-04,MS49926,220171,V
11MS1756810026404,2025-11-04,MS49926,189643,V
11MS1756728834371,2025-11-01,MS10001,86820,C
11MS1756806572601,2025-11-02,MS37568,79092,C
11MS1756385458748,2025-11-04,MS10001,84065,C
11MS1756430888510,2025-11-04,MS37568,96779,C
11MS1756437761178,2025-11-04,MS37568,48044,C
11MS1756804881719,2025-11-01,MS23154,104886,V
11MS1756807265470,2025-11-03,MS11708,91606,V
11MS1756807482134,2025-11-03,MS23154,170174,V
11MS1756809983045,2025-11-04,MS37685,62185,V
11MS1756810048797,2025-11-04,MS90712,242300,V
11MS1756810089882,2025-11-04,MS90712,90774,V
11MS1756810429627,2025-11-05,MS37685,62666,V
11MS1756810508739,2025-11-05,MS49926,154488,V
11MS1756368432050,2025-11-03,MS24068,29457,C
11MS1756725833026,2025-11-04,MS67524,50774,C
11MS1756726230446,2025-11-04,MS89891,12695,C
11MS1756737590302,2025-11-01,MS11708,196867,V
11MS1756805271001,2025-11-02,MS23154,180523,V
11MS1756807306905,2025-11-03,MS11708,137313,V
11MS1756807475065,2025-11-03,MS23154,118148,V
11MS1756807506315,2025-11-03,MS23154,204555,V
11MS1756807955678,2025-11-04,MS23154,51016,V
11MS1756806408332,2025-11-02,MS24068,94654,C
10MS6995368815840,2025-11-05,MS89891,18110,C
11MS1756738634534,2025-11-01,MS11708,153694,V
11MS1756805227641,2025-11-02,MS23154,134478,V
11MS1756807171020,2025-11-02,MS90712,81551,V
11MS1756810033792,2025-11-04,MS49926,88044,V
11MS1756810350775,2025-11-05,MS23154,186330,V
11MS1756774015460,2025-11-01,MS37568,77221,C
11MS1756775257789,2025-11-01,MS67524,74925,C
11MS1756806506314,2025-11-02,MS37568,76803,C
11MS1756806722652,2025-11-02,MS89891,33897,C
11MS1756380998059,2025-11-03,MS89891,21534,C
11MS1756383263638,2025-11-03,MS89891,99789,C
11MS1756437308157,2025-11-04,MS37568,18571,C
11MS1756736352239,2025-11-05,MS89891,34538,C
11MS1756804928108,2025-11-01,MS37685,241335,V
11MS1756807385002,2025-11-03,MS11708,191699,V
11MS1756807544314,2025-11-03,MS37685,160510,V
11MS1756809988758,2025-11-04,MS49926,244776,V
11MS1756728857959,2025-11-01,MS10001,16265,C
11MS1756366136058,2025-11-03,MS24068,99475,C
11MS1756369270738,2025-11-03,MS24068,76557,C
11MS1756378969768,2025-11-03,MS89891,42606,C
11MS1756726669384,2025-11-04,MS89891,97538,C
11MS1756738245039,2025-11-01,MS11708,181932,V
11MS1756805013399,2025-11-01,MS49926,117221,V
11MS1756805018270,2025-11-01,MS49926,114820,V
11MS1756805221363,2025-11-02,MS11708,206730,V
11MS1756806882770,2025-11-02,MS37685,115725,V
11MS1756807235215,2025-11-02,MS90712,119092,V
11MS1756807592494,2025-11-03,MS49926,85920,V
11MS1756807771636,2025-11-03,MS90712,221829,V
11MS1756810068150,2025-11-04,MS90712,98984,V
11MS1756810203493,2025-11-05,MS11708,248635,V
11MS1756810354416,2025-11-05,MS23154,214231,V
11MS1756810390605,2025-11-05,MS23154,63986,V
11MS1756810554405,2025-11-05,MS90712,80535,V
11MS1756810557190,2025-11-05,MS90712,163569,V
11MS1756774275135,2025-11-01,MS67524,69735,C
11MS1756774812958,2025-11-01,MS67524,72955,C
11MS1756806402004,2025-11-02,MS10001,69150,C
11MS1756372620053,2025-11-03,MS37568,88953,C
11MS1756377147575,2025-11-03,MS67524,82409,C
11MS1756725898682,2025-11-04,MS67524,12568,C
11MS1756726826184,2025-11-05,MS10001,43159,C
11MS1756807234637,2025-11-02,MS90712,61394,V
11MS1756807796417,2025-11-03,MS90712,59692,V
11MS1756807879060,2025-11-04,MS11708,213678,V
11MS1756807921253,2025-11-04,MS23154,90397,V
11MS1756809933899,2025-11-04,MS37685,59268,V
11MS1756810283062,2025-11-05,MS11708,183767,V
11MS1756810299868,2025-11-05,MS11708,174375,V
11MS1756810611412,2025-11-05,MS90712,139135,V
11MS1756773669136,2025-11-01,MS37568,26023,C
11MS1756806477021,2025-11-02,MS24068,66886,C
11MS1756727055797,2025-11-05,MS10001,22666,C
11MS1756727722007,2025-11-05,MS37568,18392,C
11MS1756736395894,2025-11-05,MS89891,80592,C
11MS1756805077770,2025-11-01,MS90712,244027,V
11MS1756805122851,2025-11-01,MS90712,249041,V
11MS1756805188412,2025-11-02,MS11708,209765,V
11MS1756807053588,2025-11-02,MS49926,216845,V
11MS1756807080358,2025-11-02,MS49926,169346,V
11MS1756807565768,2025-11-03,MS37685,156530,V
11MS1756807651691,2025-11-03,MS49926,69457,V
11MS1756810104654,2025-11-04,MS90712,52568,V
